Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bhutan,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Bolivia,General government net debt,Percent of GDP, ,,41.886,27.258,20.607,23.144,18.382,14.429,11.039,10.136,13.228,25.680,36.897,44.227,50.088,51.588,52.798
Bosnia and Herzegovina,General government net debt,Percent of GDP, ,,13.169,4.387,21.601,26.736,35.908,36.709,38.497,38.172,37.488,39.084,39.257,38.555,37.689,35.792,33.120
Botswana,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Brazil,General government net debt,Percent of GDP, ,,46.486,44.143,37.097,40.363,37.979,34.492,32.254,30.591,33.111,36.192,42.944,47.579,51.147,54.207,57.195
Brunei Darussalam,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Bulgaria,General government net debt,Percent of GDP, ,,-10.112,-9.617,-12.905,-12.991,-13.010,-10.956,-9.861,-7.747,-2.331,-0.113,1.528,2.271,2.406,2.036,1.100
Burkina Faso,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Burundi,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Cabo Verde,General government net debt,Percent of GDP, ,,74.078,59.188,52.632,59.419,64.480,72.450,87.075,95.914,105.530,113.516,115.853,116.431,114.634,111.386,108.437
Cambodia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Cameroon,General government net debt,Percent of GDP, ,,15.863,11.956,9.715,10.092,11.527,13.245,15.429,18.663,27.958,33.508,38.010,41.334,43.822,45.079,46.595
Canada,General government net debt,Percent of GDP, ,,25.523,22.071,18.449,24.354,26.785,27.143,28.221,29.376,28.068,26.674,27.468,25.771,23.482,21.133,18.580
Central African Republic,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Chad,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Chile,General government net debt,Percent of GDP, ,,-6.629,-12.967,-19.276,-10.563,-7.034,-8.616,-6.822,-5.650,-4.381,-4.543,-1.137,1.696,3.721,5.083,6.198
China,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Colombia,General government net debt,Percent of GDP, ,,25.287,22.476,22.267,26.148,28.448,27.067,24.870,27.011,33.789,40.257,42.155,41.241,39.746,37.439,35.577
Comoros,General government net debt,Percent of GDP, ,,65.651,61.794,57.489,53.527,50.324,46.132,42.541,18.146,22.266,26.739,29.185,29.586,29.078,26.818,24.860
Democratic Republic of the Congo,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Republic of Congo,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Costa Rica,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Côte d'Ivoire,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Croatia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Cyprus,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Czech Republic,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Denmark,General government net debt,Percent of GDP, ,,1.119,-4.614,-6.667,-5.909,-3.290,1.129,6.617,4.007,4.852,6.703,9.332,11.040,12.384,13.407,14.068
Djibouti,General government net debt,Percent of GDP, ,,57.522,55.759,57.663,57.249,50.137,43.906,43.059,32.875,41.039,52.707,59.185,54.517,52.099,48.161,44.252
Dominica,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Dominican Republic,General government net debt,Percent of GDP, ,,19.424,17.519,19.603,22.729,23.753,25.750,30.464,34.604,34.383,34.289,35.109,35.853,36.020,36.650,37.542
Ecuador,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Egypt,General government net debt,Percent of GDP, ,,67.872,61.332,52.844,55.871,57.094,61.331,64.577,74.282,77.803,77.985,80.803,81.331,81.871,82.606,82.512
El Salvador,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Equatorial Guinea,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Eritrea,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Estonia,General government net debt,Percent of GDP, ,,-10.674,-10.495,-7.940,-9.455,-7.946,-6.051,-2.568,-1.457,-1.312,-1.280,-1.220,-1.157,-1.092,-1.002,-0.940
Ethiopia,General government net debt,Percent of GDP, ,,60.295,55.186,34.672,32.018,35.487,32.815,27.624,31.319,36.133,43.546,50.970,55.209,56.619,55.180,53.475
Fiji,General government net debt,Percent of GDP, ,,52.003,47.505,47.493,52.280,52.132,48.249,46.882,44.138,43.225,43.481,43.497,41.928,41.150,40.722,40.282
Finland,General government net debt,Percent of GDP, ,,-66.520,-69.738,-49.968,-59.646,-61.760,-48.777,-50.301,-53.867,-50.050,-46.286,-42.549,-38.885,-35.535,-32.607,-30.199
France,General government net debt,Percent of GDP, ,,57.838,57.749,60.315,70.061,73.746,76.381,81.693,84.580,87.851,89.075,90.500,91.127,90.799,89.609,87.659
Gabon,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
The Gambia,General government net debt,Percent of GDP, ,,140.551,60.909,63.922,62.583,69.639,77.274,76.955,83.323,101.141,91.623,96.888,99.241,90.713,83.054,74.056
Georgia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Germany,General government net debt,Percent of GDP, ,,51.060,48.126,47.955,54.257,56.693,55.038,54.404,53.440,51.852,48.770,46.692,44.925,43.048,40.967,39.138
Ghana,General government net debt,Percent of GDP, ,,21.923,23.259,30.099,32.555,43.032,38.760,46.996,52.895,66.130,70.943,72.075,70.470,68.874,64.975,62.284
Greece,General government net debt,Percent of GDP, ,,n/a,n/a,n/a,n/a,n/a,n/a,155.216,174.101,176.301,176.567,n/a,n/a,n/a,n/a,n/a
Grenada,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Guatemala,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Guinea,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Guinea-Bissau,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Guyana,General government net debt,Percent of GDP, ,,94.157,58.874,57.303,59.947,61.322,63.327,61.330,51.862,46.049,44.142,47.408,49.861,52.430,54.749,56.915
Haiti,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Honduras,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Hong Kong SAR,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Hungary,General government net debt,Percent of GDP, ,,62.123,63.130,63.646,72.216,75.226,74.437,72.099,71.200,70.996,71.567,71.042,70.852,70.039,68.976,68.161
Iceland,General government net debt,Percent of GDP, ,,20.427,17.560,53.340,66.257,65.724,61.699,63.850,62.244,55.893,49.198,45.199,36.177,33.429,26.050,26.329
India,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Indonesia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Islamic Republic of Iran,General government net debt,Percent of GDP, ,,-0.874,-2.675,-2.839,2.537,1.964,-2.700,5.790,-1.693,-2.144,1.823,3.037,3.183,3.237,3.136,2.835
Iraq,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Ireland,General government net debt,Percent of GDP, ,,14.318,14.201,22.467,36.583,66.630,77.586,86.666,89.663,87.841,76.800,71.566,68.398,64.889,62.316,59.951
Israel,General government net debt,Percent of GDP, ,,71.800,65.800,65.000,66.700,64.500,64.000,63.000,62.700,63.400,61.105,62.598,64.418,65.553,66.394,67.158
Italy,General government net debt,Percent of GDP, ,,86.388,84.142,86.237,94.222,98.336,100.393,104.871,109.720,112.587,111.439,111.800,110.691,108.768,106.597,104.382
Jamaica,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Japan,General government net debt,Percent of GDP, ,,81.028,80.488,95.281,106.193,113.055,127.178,129.030,124.230,126.232,128.092,129.573,131.233,132.154,132.204,132.157
Jordan,General government net debt,Percent of GDP, ,,68.555,67.175,55.114,60.341,61.090,65.454,76.261,80.065,80.809,83.303,82.903,80.794,77.723,74.126,70.918
Kazakhstan,General government net debt,Percent of GDP, ,,-10.855,-13.792,-13.913,-11.044,-10.249,-13.015,-16.292,-17.966,-19.478,-32.841,-26.952,-20.325,-15.614,-11.761,-9.636
Kenya,General government net debt,Percent of GDP, ,,39.906,34.423,37.132,36.864,40.223,39.063,37.951,38.209,43.250,49.582,53.109,52.959,52.638,51.623,50.498
Kiribati,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Korea,General government net debt,Percent of GDP, ,,27.553,26.790,26.878,29.626,28.896,29.446,30.013,31.568,33.000,33.922,35.340,35.591,35.391,34.590,33.662
Kosovo,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Kuwait,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Kyrgyz Republic,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Lao P.D.R.,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Latvia,General government net debt,Percent of GDP, ,,7.018,4.450,11.082,21.383,28.800,30.120,29.697,32.852,35.588,31.927,31.920,31.915,30.293,28.988,27.637
Lebanon,General government net debt,Percent of GDP, ,,180.199,165.183,151.166,132.121,129.024,128.276,123.485,124.189,125.205,131.200,134.941,140.163,143.860,147.574,151.534
Lesotho,General government net debt,Percent of GDP, ,,6.584,-3.169,-11.308,-17.520,-4.365,2.273,-5.208,-3.623,-2.541,4.110,14.791,21.140,24.798,29.263,31.167
Liberia,General government net debt,Percent of GDP, ,,644.531,477.342,306.278,169.680,25.665,25.951,23.308,24.296,27.787,31.009,37.311,40.481,41.309,41.413,40.337
Libya,General government net debt,Percent of GDP, ,,-77.818,-77.585,-70.215,-93.595,-86.853,-170.453,-83.646,-92.118,-99.857,-62.068,-1.784,44.578,78.730,99.787,104.690
Lithuania,General government net debt,Percent of GDP, ,,13.144,13.008,13.504,24.549,31.832,33.515,34.094,35.739,39.556,39.631,39.413,38.816,37.687,36.348,34.947
Luxembourg,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Macao SAR,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
FYR Macedonia,General government net debt,Percent of GDP, ,,22.311,19.814,18.544,21.052,21.447,26.084,29.510,30.269,33.921,36.375,38.225,39.593,40.295,41.390,42.308
Madagascar,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Malawi,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Malaysia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Maldives,General government net debt,Percent of GDP, ,,31.821,29.903,34.658,51.126,57.510,57.625,60.950,62.355,65.895,72.798,82.715,95.735,107.879,115.873,118.016
Mali,General government net debt,Percent of GDP, ,,12.307,12.174,16.059,11.479,17.019,18.260,20.770,19.839,23.441,30.243,30.952,32.103,33.940,34.730,35.482
Malta,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Marshall Islands,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Mauritania,General government net debt,Percent of GDP, ,,77.597,85.722,89.329,99.910,86.550,78.226,71.973,77.363,89.514,77.820,86.947,94.289,95.032,93.011,89.455
Mauritius,General government net debt,Percent of GDP, ,,51.015,47.283,44.030,52.269,52.038,52.279,51.473,53.861,56.075,58.113,58.269,57.563,57.333,57.015,56.642
Mexico,General government net debt,Percent of GDP, ,,29.753,29.066,33.152,36.235,36.238,37.461,37.697,40.359,43.162,47.605,48.637,48.555,48.141,47.542,46.720
Micronesia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Moldova,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Mongolia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Montenegro,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Morocco,General government net debt,Percent of GDP, ,,54.359,50.528,44.734,45.452,48.493,52.137,57.775,60.982,62.873,63.165,63.809,63.466,62.701,61.307,59.485
Mozambique,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Myanmar,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Namibia,General government net debt,Percent of GDP, ,,21.010,13.074,9.110,8.813,12.083,19.303,18.894,22.904,23.530,25.329,29.178,30.218,29.791,29.248,28.947
Nepal,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Netherlands,General government net debt,Percent of GDP, ,,20.685,17.701,16.166,20.176,23.326,26.775,28.315,31.157,32.954,34.729,35.409,35.461,35.490,35.456,35.332
New Zealand,General government net debt,Percent of GDP, ,,2.696,-0.884,-2.309,-0.776,2.325,6.051,7.616,7.699,7.557,7.507,7.363,6.985,6.235,5.132,3.971
Nicaragua,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Niger,General government net debt,Percent of GDP, ,,-37.296,1.521,1.899,0.885,4.254,2.581,1.971,2.897,3.562,5.576,4.803,4.148,3.844,3.981,3.491
Nigeria,General government net debt,Percent of GDP, ,,n/a,n/a,n/a,6.677,8.847,9.032,8.050,9.942,9.998,11.038,12.831,13.616,13.956,14.608,15.556
Norway,General government net debt,Percent of GDP, ,,-137.415,-143.711,-128.831,-158.348,-167.624,-162.417,-171.421,-205.275,-244.030,-278.289,-285.551,-280.867,-276.983,-273.849,-272.565
Oman,General government net debt,Percent of GDP, ,,-24.396,-30.161,-25.358,-33.190,-30.177,-29.841,-29.528,-44.721,-45.454,-36.864,-29.673,-10.452,-1.307,10.147,20.812
Pakistan,General government net debt,Percent of GDP, ,,48.076,44.788,52.600,51.980,52.793,52.283,56.486,59.147,58.231,57.783,58.449,57.512,55.629,53.894,51.602
Palau,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Panama,General government net debt,Percent of GDP, ,,51.368,44.546,37.765,36.121,35.543,33.351,32.450,31.824,34.216,36.072,36.362,35.079,33.121,31.568,30.037
Papua New Guinea,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Paraguay,General government net debt,Percent of GDP, ,,19.013,14.909,13.706,12.851,9.426,7.141,11.423,12.264,14.156,18.869,22.157,24.011,25.454,26.731,27.739
Peru,General government net debt,Percent of GDP, ,,23.974,16.743,13.009,12.229,10.263,7.151,4.542,3.474,3.569,5.600,7.543,8.539,9.259,9.683,9.740
Philippines,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Poland,General government net debt,Percent of GDP, ,,13.874,9.085,8.889,13.745,19.237,23.762,24.910,28.644,22.532,24.384,26.071,27.945,28.916,29.402,29.582
Portugal,General government net debt,Percent of GDP, ,,56.658,61.427,67.194,79.293,91.625,100.849,115.867,118.441,120.034,121.347,120.927,120.633,120.680,120.535,120.046
Puerto Rico,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Qatar,General government net debt,Percent of GDP, ,,-24.963,-31.000,-36.781,-39.021,-33.853,-42.256,-56.692,-76.694,-93.607,-114.675,-122.512,-107.728,-93.630,-84.021,-77.827
Romania,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Russia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Rwanda,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Samoa,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
San Marino,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
São Tomé and Príncipe,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Saudi Arabia,General government net debt,Percent of GDP, ,,1.819,-16.089,-42.188,-43.435,-41.844,-41.921,-51.518,-56.656,-53.643,-41.649,-31.048,-18.601,-7.760,0.433,8.322
Senegal,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Serbia,General government net debt,Percent of GDP, ,,32.391,26.966,28.805,30.783,38.905,40.983,52.121,53.121,67.547,73.862,75.454,74.780,72.140,69.352,66.534
Seychelles,General government net debt,Percent of GDP, ,,123.359,126.756,126.091,116.976,75.808,72.211,70.034,56.856,51.342,50.025,46.643,43.109,39.212,36.032,32.560
Sierra Leone,General government net debt,Percent of GDP, ,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Singapore,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Slovak Republic,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Slovenia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Solomon Islands,General government net debt,Percent of GDP, ,,39.032,35.435,30.896,28.125,10.015,-0.438,-0.703,-0.697,-2.157,-2.430,-1.444,-0.630,-2.047,-3.243,-4.261
South Africa,General government net debt,Percent of GDP, ,,25.895,22.850,21.740,25.370,28.514,31.320,34.747,37.632,40.374,44.744,46.222,47.116,48.018,48.938,49.500
South Sudan,General government net debt,Percent of GDP, ,,n/a,n/a,n/a,n/a,n/a,0.000,2.131,10.105,17.921,53.938,38.921,29.621,24.888,24.468,23.328
Spain,General government net debt,Percent of GDP, ,,29.972,26.017,30.017,24.230,32.485,39.319,52.095,59.858,63.998,64.971,66.187,66.634,66.695,66.220,65.531
Sri Lanka,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
St. Kitts and Nevis,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
St. Lucia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
St. Vincent and the Grenadines,General government net debt,Percent of GDP, ,,63.561,55.030,53.953,60.541,62.404,65.765,69.125,71.149,76.839,70.550,72.617,74.099,74.270,73.244,72.317
Sudan,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Suriname,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Swaziland,General government net debt,Percent of GDP, ,,5.162,-1.207,-5.918,-4.496,3.981,6.385,4.660,3.300,2.591,8.385,13.828,17.284,20.373,23.423,26.435
Sweden,General government net debt,Percent of GDP, ,,-12.025,-16.244,-8.460,-15.221,-17.109,-13.975,-17.881,-18.574,-19.252,-17.268,-15.554,-14.070,-13.080,-12.281,-11.780
Switzerland,General government net debt,Percent of GDP, ,,37.453,30.172,29.291,27.486,26.427,26.222,25.521,25.240,24.550,24.516,23.795,23.012,21.965,20.828,19.660
Syria,General government net debt,Percent of GDP, ,,28.817,27.041,21.688,17.937,18.807,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Taiwan Province of China,General government net debt,Percent of GDP, ,,31.239,30.174,31.386,34.718,34.864,36.421,37.399,37.228,36.990,36.386,36.365,35.421,34.090,32.468,30.563
Tajikistan,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Tanzania,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Thailand,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Timor-Leste,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Togo,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Tonga,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Trinidad and Tobago,General government net debt,Percent of GDP, ,,14.851,10.647,5.027,9.876,10.128,8.405,14.981,14.488,15.641,22.522,32.334,39.259,44.971,51.206,57.871
Tunisia,General government net debt,Percent of GDP, ,,48.791,45.941,43.292,42.774,40.664,44.625,44.657,46.550,50.106,54.502,57.748,59.271,60.190,57.140,54.487
Turkey,General government net debt,Percent of GDP, ,,38.978,32.710,32.540,37.532,34.743,31.315,27.776,27.345,24.640,23.507,21.924,20.588,19.650,18.369,17.397
Turkmenistan,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Tuvalu,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Uganda,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Ukraine,General government net debt,Percent of GDP, ,,11.306,9.710,17.548,30.799,38.530,34.510,35.333,38.437,68.782,77.384,90.593,90.372,84.134,77.853,70.958
United Arab Emirates,General government net debt,Percent of GDP, ,,-222.391,-215.129,-203.041,-247.101,-227.970,-201.553,-208.991,-216.112,-223.255,-258.810,-273.575,-251.159,-236.161,-223.377,-212.208
United Kingdom,General government net debt,Percent of GDP, ,,37.868,38.238,45.680,58.711,69.227,73.331,76.630,77.767,79.747,80.662,80.611,79.333,77.813,74.506,70.820
United States,General government net debt,Percent of GDP, ,,44.739,44.459,50.463,62.017,69.495,75.928,79.383,80.947,80.625,80.647,82.192,82.169,81.558,81.382,81.392
Uruguay,General government net debt,Percent of GDP, ,,47.443,37.808,31.612,30.727,30.595,28.291,25.294,24.181,22.867,23.257,25.729,27.743,29.018,30.130,31.135
Uzbekistan,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Vanuatu,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Venezuela,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Vietnam,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Yemen,General government net debt,Percent of GDP, ,,32.999,35.236,31.422,43.633,38.275,42.340,45.276,46.712,47.788,67.465,66.473,57.532,53.979,52.288,52.144
Zambia,General government net debt,Percent of GDP, ,,21.604,17.601,16.284,16.466,15.944,16.417,19.547,24.017,28.966,48.401,55.466,56.675,57.474,56.593,55.337
Zimbabwe,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
