Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
The Bahamas,"Gross domestic product, constant prices",Percent change, ,,2.517,1.446,-2.324,-4.175,1.539,0.613,2.217,0.022,1.023,0.481,1.490,1.506,2.254,2.236,1.499
Bahrain,"Gross domestic product, constant prices",Percent change, ,,6.467,8.294,6.242,2.541,4.337,2.100,3.589,5.408,4.486,3.153,2.164,2.015,1.862,1.870,2.205
Bangladesh,"Gross domestic product, constant prices",Percent change, ,,6.851,6.518,5.515,5.315,6.030,6.494,6.260,6.038,6.292,6.402,6.558,6.903,7.000,7.000,6.742
Barbados,"Gross domestic product, constant prices",Percent change, ,,5.669,1.764,0.396,-4.032,0.256,0.756,0.280,-0.036,0.226,0.468,2.100,2.300,2.100,2.000,1.997
Belarus,"Gross domestic product, constant prices",Percent change, ,,9.984,8.688,10.293,0.143,7.741,5.544,1.731,1.024,1.588,-3.894,-2.656,0.374,0.850,1.039,1.111
Belgium,"Gross domestic product, constant prices",Percent change, ,,2.499,3.398,0.747,-2.285,2.695,1.797,0.151,0.017,1.348,1.371,1.161,1.388,1.484,1.476,1.460
Belize,"Gross domestic product, constant prices",Percent change, ,,4.582,1.106,3.229,0.713,3.324,2.104,3.825,1.526,3.573,1.472,2.478,2.706,2.619,2.515,2.428
Benin,"Gross domestic product, constant prices",Percent change, ,,3.939,5.983,4.901,2.326,2.110,2.960,4.649,6.873,6.542,5.208,5.000,5.200,5.398,5.396,5.592
Bhutan,"Gross domestic product, constant prices",Percent change, ,,6.981,12.571,10.752,5.722,9.327,10.069,6.407,4.905,6.412,7.668,8.395,8.597,11.235,7.635,6.496
Bolivia,"Gross domestic product, constant prices",Percent change, ,,4.797,4.564,6.148,3.357,4.127,5.204,5.122,6.796,5.461,4.800,3.800,3.500,3.500,3.500,3.500
Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change, ,,5.691,5.979,5.594,-0.816,0.767,0.908,-0.933,2.394,1.082,2.800,3.000,3.200,3.700,3.900,4.000
Botswana,"Gross domestic product, constant prices",Percent change, ,,8.364,8.280,6.242,-7.653,8.564,6.048,4.456,9.860,3.205,-0.339,3.693,4.299,4.419,4.953,4.291
Brazil,"Gross domestic product, constant prices",Percent change, ,,3.961,6.072,5.094,-0.126,7.529,3.910,1.915,3.015,0.103,-3.847,-3.798,-0.009,1.050,1.956,2.017
Brunei Darussalam,"Gross domestic product, constant prices",Percent change, ,,4.412,0.120,-1.979,-1.819,2.652,3.744,0.913,-2.125,-2.344,-0.208,-2.025,3.036,7.884,12.791,8.880
Bulgaria,"Gross domestic product, constant prices",Percent change, ,,6.753,7.675,5.647,-4.220,0.055,1.584,0.237,1.282,1.549,2.968,2.300,2.300,2.400,2.400,2.600
Burkina Faso,"Gross domestic product, constant prices",Percent change, ,,6.252,4.108,5.800,2.962,8.446,6.627,6.453,6.556,4.005,4.001,5.017,5.703,5.988,6.000,6.000
Burundi,"Gross domestic product, constant prices",Percent change, ,,5.414,3.452,4.862,3.813,5.124,4.033,4.447,4.546,4.661,-4.109,3.446,3.918,4.360,4.930,5.145
Cabo Verde,"Gross domestic product, constant prices",Percent change, ,,9.118,9.218,6.651,-1.255,1.471,3.971,1.055,1.016,1.842,1.788,2.854,3.545,4.343,4.429,4.391
Cambodia,"Gross domestic product, constant prices",Percent change, ,,10.771,10.213,6.692,0.087,5.963,7.070,7.313,7.428,7.072,6.922,6.967,6.954,6.958,6.901,6.937
Cameroon,"Gross domestic product, constant prices",Percent change, ,,3.222,3.257,2.885,1.932,3.269,4.140,4.598,5.552,5.927,5.872,4.858,4.631,4.959,4.678,4.649
Canada,"Gross domestic product, constant prices",Percent change, ,,2.623,2.063,1.000,-2.950,3.083,3.141,1.746,2.218,2.473,1.175,1.452,1.913,2.056,2.019,2.000
Central African Republic,"Gross domestic product, constant prices",Percent change, ,,4.771,4.608,2.054,1.709,3.047,3.301,4.113,-36.047,1.010,4.309,5.741,5.943,6.044,5.046,3.979
Chad,"Gross domestic product, constant prices",Percent change, ,,0.648,3.271,3.053,4.208,13.560,0.083,8.882,5.694,6.893,1.770,-0.403,1.602,5.145,8.215,3.441
Chile,"Gross domestic product, constant prices",Percent change, ,,5.825,5.207,3.247,-1.082,5.749,5.790,5.546,4.031,1.832,2.069,1.537,2.100,2.700,3.020,3.200
China,"Gross domestic product, constant prices",Percent change, ,,12.700,14.200,9.600,9.200,10.606,9.457,7.700,7.700,7.300,6.900,6.490,6.200,6.000,6.000,6.000
Colombia,"Gross domestic product, constant prices",Percent change, ,,6.698,6.901,3.547,1.652,3.972,6.590,4.044,4.874,4.386,3.082,2.502,2.969,3.721,4.149,4.250
Comoros,"Gross domestic product, constant prices",Percent change, ,,1.242,0.492,0.975,1.810,2.051,2.227,2.961,3.518,1.950,1.034,2.157,3.329,3.980,4.000,4.000
Democratic Republic of the Congo,"Gross domestic product, constant prices",Percent change, ,,5.321,6.256,6.230,2.855,7.108,6.874,7.088,8.482,9.170,7.745,4.930,5.078,5.556,6.550,5.910
Republic of Congo,"Gross domestic product, constant prices",Percent change, ,,6.236,-1.582,5.572,7.469,8.743,3.410,3.813,3.322,6.849,2.513,4.392,4.267,2.765,1.721,1.099
Costa Rica,"Gross domestic product, constant prices",Percent change, ,,8.780,7.935,2.732,-1.016,4.954,4.518,5.168,1.756,2.965,3.675,4.250,4.250,4.400,4.250,4.000
Côte d'Ivoire,"Gross domestic product, constant prices",Percent change, ,,1.516,1.765,2.543,3.251,2.018,-4.387,10.674,8.700,7.915,8.606,8.540,7.963,7.623,7.333,7.077
Croatia,"Gross domestic product, constant prices",Percent change, ,,4.785,5.150,2.054,-7.384,-1.702,-0.281,-2.188,-1.064,-0.361,1.645,1.900,2.100,2.200,2.300,2.300
Cyprus,"Gross domestic product, constant prices",Percent change, ,,4.523,4.934,3.652,-2.028,1.364,0.404,-2.448,-5.941,-2.497,1.588,1.592,1.976,2.229,2.130,1.832
Czech Republic,"Gross domestic product, constant prices",Percent change, ,,6.877,5.529,2.711,-4.842,2.295,1.967,-0.900,-0.528,1.978,4.215,2.545,2.358,2.200,2.188,2.200
Denmark,"Gross domestic product, constant prices",Percent change, ,,3.800,0.821,-0.713,-5.089,1.622,1.156,-0.077,-0.242,1.263,1.160,1.598,1.791,2.000,2.103,2.108
Djibouti,"Gross domestic product, constant prices",Percent change, ,,4.825,5.017,5.806,1.616,4.147,7.293,4.842,5.001,6.000,6.500,6.500,7.000,7.000,7.000,6.000
Dominica,"Gross domestic product, constant prices",Percent change, ,,4.659,6.354,7.121,-1.170,0.673,-0.063,-1.255,0.594,3.881,-4.316,4.914,3.474,2.673,2.222,1.705
Dominican Republic,"Gross domestic product, constant prices",Percent change, ,,10.657,8.480,3.144,0.936,8.302,2.821,2.630,4.778,7.341,7.000,5.400,4.500,4.500,4.500,4.500
Ecuador,"Gross domestic product, constant prices",Percent change, ,,4.404,2.190,6.357,0.566,3.525,7.868,5.642,4.554,3.675,0.019,-4.497,-4.288,-0.880,0.589,-0.513
Egypt,"Gross domestic product, constant prices",Percent change, ,,6.844,7.088,7.156,4.674,5.147,1.765,2.226,2.101,2.205,4.194,3.256,4.256,4.536,4.846,4.936
El Salvador,"Gross domestic product, constant prices",Percent change, ,,3.912,3.840,1.274,-3.133,1.365,2.217,1.881,1.847,1.952,2.400,2.500,2.600,2.300,2.000,2.000
Equatorial Guinea,"Gross domestic product, constant prices",Percent change, ,,-3.164,12.253,9.908,-4.535,-3.825,1.976,5.747,-6.507,-0.284,-12.194,-7.376,-1.923,-1.660,-1.656,-1.747
Eritrea,"Gross domestic product, constant prices",Percent change, ,,-0.969,1.427,-9.783,3.877,2.194,8.678,7.020,3.051,4.987,4.775,3.667,3.249,3.652,3.606,3.783
Estonia,"Gross domestic product, constant prices",Percent change, ,,10.272,7.748,-5.419,-14.724,2.463,7.583,5.183,1.568,2.906,1.068,2.207,2.795,3.231,3.271,3.390
Ethiopia,"Gross domestic product, constant prices",Percent change, ,,11.539,11.795,11.187,10.041,10.567,11.386,8.700,9.943,10.315,10.200,4.451,6.987,7.493,7.543,7.543
Fiji,"Gross domestic product, constant prices",Percent change, ,,1.856,-0.860,1.032,-1.400,3.000,2.700,1.411,4.736,5.289,4.300,2.500,3.900,3.900,3.600,3.600
Finland,"Gross domestic product, constant prices",Percent change, ,,4.055,5.185,0.721,-8.269,2.992,2.571,-1.426,-0.758,-0.699,0.431,0.912,1.068,1.330,1.518,1.617
France,"Gross domestic product, constant prices",Percent change, ,,2.375,2.361,0.195,-2.941,1.966,2.079,0.183,0.656,0.180,1.137,1.143,1.295,1.486,1.732,1.787
Gabon,"Gross domestic product, constant prices",Percent change, ,,-1.908,6.333,1.733,-2.279,6.270,7.092,5.251,5.638,4.315,4.013,3.182,4.501,4.699,4.929,4.968
The Gambia,"Gross domestic product, constant prices",Percent change, ,,1.124,3.631,5.735,6.450,6.526,-4.295,5.600,4.789,-0.219,4.375,2.311,3.318,4.753,5.153,5.453
Georgia,"Gross domestic product, constant prices",Percent change, ,,9.421,12.579,2.418,-3.650,6.249,7.222,6.350,3.387,4.623,2.757,2.457,4.518,5.034,4.952,5.013
Germany,"Gross domestic product, constant prices",Percent change, ,,3.879,3.383,0.805,-5.565,3.945,3.718,0.613,0.406,1.580,1.450,1.456,1.623,1.358,1.340,1.268
Ghana,"Gross domestic product, constant prices",Percent change, ,,6.250,4.348,9.148,4.845,7.898,14.048,9.293,7.313,3.986,3.488,4.532,7.695,5.935,6.170,5.352
Greece,"Gross domestic product, constant prices",Percent change, ,,5.652,3.274,-0.335,-4.301,-5.479,-9.132,-7.300,-3.198,0.654,-0.231,-0.576,2.662,3.106,2.792,2.361
Grenada,"Gross domestic product, constant prices",Percent change, ,,-3.993,6.123,0.948,-6.614,-0.511,0.765,-1.155,2.352,5.685,4.579,2.980,2.482,2.497,2.497,2.497
Guatemala,"Gross domestic product, constant prices",Percent change, ,,5.380,6.304,3.281,0.526,2.869,4.162,2.970,3.698,4.250,4.000,4.000,3.900,3.700,3.800,3.900
Guinea,"Gross domestic product, constant prices",Percent change, ,,2.497,1.758,4.937,-0.280,1.936,3.883,3.806,2.308,1.080,0.145,4.057,5.383,5.836,6.552,6.301
Guinea-Bissau,"Gross domestic product, constant prices",Percent change, ,,2.310,3.204,3.208,3.314,4.409,9.355,-1.798,0.820,2.541,4.797,4.800,5.000,5.003,4.999,4.999
Guyana,"Gross domestic product, constant prices",Percent change, ,,5.127,7.020,1.977,3.319,4.371,5.437,4.816,5.222,3.841,3.025,3.409,3.454,3.729,3.611,3.355
Haiti,"Gross domestic product, constant prices",Percent change, ,,2.249,3.343,0.844,3.083,-5.498,5.524,2.885,4.248,2.750,1.000,2.250,3.250,3.500,3.500,3.500
Honduras,"Gross domestic product, constant prices",Percent change, ,,6.567,6.188,4.232,-2.432,3.731,3.836,4.129,2.792,3.085,3.635,3.500,3.700,3.800,4.000,4.000
Hong Kong SAR,"Gross domestic product, constant prices",Percent change, ,,7.033,6.465,2.128,-2.459,6.768,4.815,1.700,3.088,2.646,2.361,2.150,2.442,2.635,2.773,2.984
Hungary,"Gross domestic product, constant prices",Percent change, ,,3.806,0.426,0.839,-6.559,0.743,1.758,-1.689,1.890,3.672,2.939,2.300,2.450,2.400,2.200,2.100
Iceland,"Gross domestic product, constant prices",Percent change, ,,4.206,9.493,1.479,-4.681,-3.589,1.988,1.246,4.389,1.954,3.957,4.249,3.159,2.454,2.719,2.620
India,"Gross domestic product, constant prices",Percent change, ,,9.264,9.801,3.891,8.480,10.260,6.638,5.619,6.639,7.244,7.336,7.454,7.494,7.598,7.690,7.680
Indonesia,"Gross domestic product, constant prices",Percent change, ,,5.501,6.345,7.442,4.702,6.378,6.170,6.030,5.557,5.024,4.794,4.900,5.300,5.500,5.800,6.000
Islamic Republic of Iran,"Gross domestic product, constant prices",Percent change, ,,5.704,9.116,0.924,2.315,6.577,3.750,-6.609,-1.912,4.343,0.032,3.957,3.740,3.837,4.091,4.095
Iraq,"Gross domestic product, constant prices",Percent change, ,,5.638,1.889,8.228,3.379,6.403,7.546,13.936,6.572,-2.118,2.396,7.154,3.277,4.158,4.314,4.720
Ireland,"Gross domestic product, constant prices",Percent change, ,,6.309,5.543,-2.162,-5.638,0.399,2.588,0.151,1.434,5.199,7.811,4.973,3.640,3.198,2.759,2.737
Israel,"Gross domestic product, constant prices",Percent change, ,,5.802,6.135,3.059,1.269,5.517,5.030,2.880,3.251,2.554,2.583,2.847,3.018,2.970,2.948,2.889
Italy,"Gross domestic product, constant prices",Percent change, ,,2.007,1.474,-1.050,-5.482,1.687,0.577,-2.819,-1.748,-0.343,0.760,0.954,1.150,1.040,1.050,0.940
Jamaica,"Gross domestic product, constant prices",Percent change, ,,2.899,1.444,-0.819,-3.410,-1.454,1.424,-0.519,0.195,0.530,1.093,2.206,2.548,2.713,2.741,2.726
Japan,"Gross domestic product, constant prices",Percent change, ,,1.693,2.192,-1.042,-5.527,4.711,-0.454,1.742,1.357,-0.031,0.473,0.486,-0.058,0.364,0.696,0.700
Jordan,"Gross domestic product, constant prices",Percent change, ,,8.093,8.176,7.232,5.477,2.311,2.587,2.651,2.829,3.096,2.500,3.200,3.700,4.000,4.000,4.000
Kazakhstan,"Gross domestic product, constant prices",Percent change, ,,10.700,8.900,3.300,1.200,7.300,7.500,5.000,6.000,4.300,1.156,0.135,1.050,1.806,2.163,3.364
Kenya,"Gross domestic product, constant prices",Percent change, ,,5.854,6.851,0.232,3.307,8.402,6.112,4.555,5.687,5.328,5.592,5.982,6.130,6.457,6.461,6.534
Kiribati,"Gross domestic product, constant prices",Percent change, ,,-1.581,2.202,-1.847,0.290,-1.608,0.477,5.188,5.782,2.409,4.188,2.715,2.482,2.563,2.546,2.158
Korea,"Gross domestic product, constant prices",Percent change, ,,5.176,5.463,2.829,0.708,6.497,3.682,2.292,2.896,3.310,2.591,2.668,2.868,3.075,3.058,3.052
Kosovo,"Gross domestic product, constant prices",Percent change, ,,3.408,8.300,4.491,3.592,3.310,4.379,2.809,3.388,1.223,3.300,3.400,4.280,4.100,3.650,4.010
Kuwait,"Gross domestic product, constant prices",Percent change, ,,7.520,5.992,2.480,-7.076,-2.371,10.606,7.666,1.044,0.029,0.901,2.400,2.604,2.609,2.819,2.829
Kyrgyz Republic,"Gross domestic product, constant prices",Percent change, ,,3.100,8.543,7.566,2.900,-0.472,5.956,-0.900,10.534,3.603,3.469,3.515,2.740,5.428,4.886,5.706
Lao P.D.R.,"Gross domestic product, constant prices",Percent change, ,,8.645,7.843,7.785,7.502,8.131,8.040,7.898,7.968,7.421,7.010,7.395,7.386,7.441,7.301,7.319
Latvia,"Gross domestic product, constant prices",Percent change, ,,11.902,9.961,-3.598,-14.349,-3.780,6.211,4.005,3.022,2.359,2.736,3.204,3.643,3.925,3.974,3.966
Lebanon,"Gross domestic product, constant prices",Percent change, ,,1.600,9.400,9.100,10.300,8.000,0.900,2.800,2.500,2.000,1.000,1.000,2.000,2.500,3.000,3.000
Lesotho,"Gross domestic product, constant prices",Percent change, ,,4.417,4.993,5.115,4.519,6.878,4.520,5.282,3.576,3.448,2.468,2.565,4.111,4.999,3.933,3.955
Liberia,"Gross domestic product, constant prices",Percent change, ,,8.234,12.723,5.967,5.085,6.088,7.431,8.245,8.659,0.691,0.020,2.460,4.725,5.413,6.024,8.136
Libya,"Gross domestic product, constant prices",Percent change, ,,6.500,6.354,2.666,-0.790,5.023,-62.076,104.483,-13.552,-24.031,-6.381,-2.035,12.234,7.257,9.256,13.484
Lithuania,"Gross domestic product, constant prices",Percent change, ,,7.406,11.087,2.628,-14.814,1.640,6.045,3.836,3.545,3.032,1.594,2.734,3.140,3.394,3.625,3.575
Luxembourg,"Gross domestic product, constant prices",Percent change, ,,5.111,8.396,-0.843,-5.378,5.678,2.567,-0.846,4.347,4.070,4.521,3.479,3.423,3.168,3.008,2.996
Macao SAR,"Gross domestic product, constant prices",Percent change, ,,13.314,14.447,3.394,1.321,25.264,21.673,9.230,11.201,-0.852,-20.349,-7.166,0.669,1.173,1.708,1.797
FYR Macedonia,"Gross domestic product, constant prices",Percent change, ,,5.137,6.473,5.472,-0.359,3.359,2.340,-0.456,2.925,3.541,3.665,3.600,3.600,3.700,3.700,3.800
Madagascar,"Gross domestic product, constant prices",Percent change, ,,5.399,6.420,7.207,-4.726,0.263,1.455,3.027,2.264,3.316,3.033,4.142,4.455,4.800,5.001,5.000
Malawi,"Gross domestic product, constant prices",Percent change, ,,4.700,9.600,7.640,8.328,6.874,4.854,1.886,5.200,5.700,2.950,3.000,4.000,4.500,5.000,5.500
Malaysia,"Gross domestic product, constant prices",Percent change, ,,5.584,6.299,4.832,-1.514,7.528,5.294,5.473,4.713,5.993,4.952,4.400,4.800,4.800,4.900,5.000
Maldives,"Gross domestic product, constant prices",Percent change, ,,19.888,10.172,12.674,-5.326,7.167,8.709,2.499,4.698,6.479,1.912,3.545,3.890,4.564,4.654,4.771
Mali,"Gross domestic product, constant prices",Percent change, ,,4.662,3.494,4.773,4.679,5.413,3.240,-0.836,2.304,7.508,6.125,5.015,5.200,4.768,4.488,4.520
Malta,"Gross domestic product, constant prices",Percent change, ,,1.877,3.938,3.305,-2.478,3.547,1.927,2.849,4.059,3.734,6.335,3.59,3.034,2.971,2.805,2.81
Marshall Islands,"Gross domestic product, constant prices",Percent change, ,,3.737,-1.890,-1.718,6.184,1.260,4.006,1.894,-1.074,1.002,1.554,1.763,1.780,1.592,1.578,1.290
Mauritania,"Gross domestic product, constant prices",Percent change, ,,18.869,2.818,1.080,-1.042,4.774,4.704,5.795,6.427,6.574,1.908,4.141,3.868,1.658,3.811,3.936
Mauritius,"Gross domestic product, constant prices",Percent change, ,,4.514,5.891,5.511,3.049,4.100,3.886,3.229,3.186,3.617,3.374,3.786,3.942,3.943,3.977,4.010
Mexico,"Gross domestic product, constant prices",Percent change, ,,5.001,3.148,1.400,-4.700,5.110,4.045,4.018,1.345,2.250,2.547,2.411,2.573,2.770,2.913,3.089
Micronesia,"Gross domestic product, constant prices",Percent change, ,,-0.062,-1.992,-2.239,1.039,3.494,1.776,-0.540,-3.562,-3.403,-0.165,1.054,0.722,0.718,0.824,0.480
Moldova,"Gross domestic product, constant prices",Percent change, ,,4.785,2.998,7.838,-5.990,7.094,6.816,-0.733,9.400,4.793,-1.100,0.500,2.500,3.400,3.700,3.800
Mongolia,"Gross domestic product, constant prices",Percent change, ,,8.163,8.757,7.819,-2.069,7.313,17.291,12.320,11.649,7.885,2.295,0.406,2.537,5.688,7.880,10.464
Montenegro,"Gross domestic product, constant prices",Percent change, ,,8.600,10.700,6.900,-5.700,2.464,3.229,-2.724,3.549,1.784,4.074,4.651,2.511,2.514,2.181,3.756
Morocco,"Gross domestic product, constant prices",Percent change, ,,7.575,3.532,5.923,4.244,3.816,5.246,3.010,4.725,2.417,4.466,2.256,4.122,4.408,4.609,4.740
Mozambique,"Gross domestic product, constant prices",Percent change, ,,9.851,8.282,6.876,6.351,6.688,7.118,7.198,7.141,7.434,6.300,6.000,6.800,7.900,7.600,7.500
Myanmar,"Gross domestic product, constant prices",Percent change, ,,13.076,11.991,3.600,5.144,5.345,5.591,7.333,8.428,8.700,7.031,8.640,7.705,7.759,7.630,7.659
Namibia,"Gross domestic product, constant prices",Percent change, ,,3.948,3.646,2.650,0.296,6.039,5.091,5.064,5.681,6.372,4.499,4.190,5.848,5.930,5.312,4.574
Nepal,"Gross domestic product, constant prices",Percent change, ,,3.365,3.412,6.105,4.533,4.816,3.422,4.781,4.129,5.381,3.363,0.542,4.451,3.770,3.825,3.770
Netherlands,"Gross domestic product, constant prices",Percent change, ,,3.520,3.696,1.708,-3.773,1.401,1.664,-1.057,-0.494,1.013,1.925,1.841,1.886,1.932,1.898,1.967
New Zealand,"Gross domestic product, constant prices",Percent change, ,,2.749,3.944,-0.388,0.296,2.048,1.838,2.838,1.690,2.980,3.397,1.972,2.458,2.459,2.214,2.315
Nicaragua,"Gross domestic product, constant prices",Percent change, ,,4.152,5.288,2.852,-2.759,3.191,6.232,5.132,4.511,4.703,4.500,4.500,4.300,4.000,4.000,4.000
Niger,"Gross domestic product, constant prices",Percent change, ,,5.807,3.166,9.650,-0.712,8.360,2.209,11.850,5.268,7.050,4.000,4.929,6.884,7.759,6.564,7.593
Nigeria,"Gross domestic product, constant prices",Percent change, ,,8.327,9.061,8.014,8.971,9.969,4.887,4.279,5.394,6.310,2.653,2.324,3.456,3.860,3.704,3.858
Norway,"Gross domestic product, constant prices",Percent change, ,,2.395,2.930,0.384,-1.623,0.602,0.969,2.749,0.999,2.215,1.565,0.998,1.519,1.798,2.093,2.110
Oman,"Gross domestic product, constant prices",Percent change, ,,5.373,4.452,8.201,6.112,4.803,4.095,5.764,4.693,2.948,4.109,1.831,1.738,1.173,1.000,1.530
Pakistan,"Gross domestic product, constant prices",Percent change, ,,5.818,5.537,4.988,0.361,2.581,3.624,3.837,3.653,4.026,4.239,4.500,4.700,5.000,5.200,5.500
Palau,"Gross domestic product, constant prices",Percent change, ,,-2.765,-0.028,-5.575,-9.108,3.295,5.017,3.228,-2.409,4.234,9.384,2.000,5.000,4.000,3.000,3.000
Panama,"Gross domestic product, constant prices",Percent change, ,,8.537,12.111,8.612,1.598,5.767,11.808,9.230,6.624,6.053,5.777,6.100,6.400,6.700,6.300,6.000
Papua New Guinea,"Gross domestic product, constant prices",Percent change, ,,2.294,7.152,6.614,6.134,7.680,10.669,8.091,5.530,8.540,8.972,3.123,4.400,1.445,3.192,3.219
Paraguay,"Gross domestic product, constant prices",Percent change, ,,4.807,5.422,6.359,-3.966,13.093,4.342,-1.239,14.036,4.722,3.014,2.893,3.228,3.504,3.679,3.921
Peru,"Gross domestic product, constant prices",Percent change, ,,7.528,8.518,9.143,1.049,8.451,6.451,5.951,5.854,2.385,3.257,3.744,4.120,3.582,3.532,3.512
Philippines,"Gross domestic product, constant prices",Percent change, ,,5.243,6.617,4.153,1.148,7.632,3.660,6.684,7.055,6.132,5.806,6.000,6.199,6.301,6.402,6.500
Poland,"Gross domestic product, constant prices",Percent change, ,,6.193,7.202,3.920,2.634,3.699,5.009,1.562,1.265,3.334,3.637,3.571,3.592,3.458,3.496,3.498
Portugal,"Gross domestic product, constant prices",Percent change, ,,1.553,2.492,0.199,-2.978,1.899,-1.827,-4.028,-1.130,0.906,1.472,1.397,1.259,1.160,1.160,1.151
Puerto Rico,"Gross domestic product, constant prices",Percent change, ,,-1.410,-1.162,-1.844,-1.952,-0.413,-0.359,0.029,-0.037,-0.062,-1.290,-1.252,-1.442,-1.416,-0.859,-0.803
Qatar,"Gross domestic product, constant prices",Percent change, ,,26.170,17.986,17.664,11.957,19.592,13.375,4.880,4.582,3.978,3.271,3.401,3.433,2.869,2.623,2.094
Romania,"Gross domestic product, constant prices",Percent change, ,,8.056,6.864,8.459,-7.067,-0.798,1.056,0.641,3.532,2.959,3.737,4.200,3.602,3.260,3.259,3.260
Russia,"Gross domestic product, constant prices",Percent change, ,,8.153,8.535,5.248,-7.821,4.504,4.264,3.507,1.279,0.747,-3.746,-1.849,0.812,1.000,1.500,1.500
Rwanda,"Gross domestic product, constant prices",Percent change, ,,9.227,7.654,11.127,6.302,7.343,7.822,8.788,4.708,6.962,6.944,6.300,6.700,6.800,7.000,7.500
Samoa,"Gross domestic product, constant prices",Percent change, ,,1.926,1.123,2.877,-6.437,-1.448,5.422,0.439,-1.931,1.196,1.681,1.214,-0.104,1.838,1.929,1.929
San Marino,"Gross domestic product, constant prices",Percent change, ,,3.826,7.103,1.650,-12.786,-4.648,-9.466,-7.517,-3.025,-0.982,0.969,1.100,1.200,1.300,1.251,1.300
São Tomé and Príncipe,"Gross domestic product, constant prices",Percent change, ,,9.109,0.584,8.059,4.012,4.467,4.764,4.496,4.000,4.500,4.000,5.000,5.500,5.500,5.500,6.000
Saudi Arabia,"Gross domestic product, constant prices",Percent change, ,,2.788,1.847,6.250,-2.059,4.762,9.959,5.384,2.670,3.639,3.353,1.205,1.916,2.295,2.345,2.111
Senegal,"Gross domestic product, constant prices",Percent change, ,,2.470,4.938,3.682,2.423,4.265,1.853,4.496,3.597,4.336,6.485,6.639,6.847,6.954,7.103,7.078
Serbia,"Gross domestic product, constant prices",Percent change, ,,4.904,5.889,5.367,-3.116,0.584,1.401,-1.015,2.572,-1.831,0.741,1.750,2.250,3.500,3.500,4.000
Seychelles,"Gross domestic product, constant prices",Percent change, ,,9.406,10.418,-2.141,-1.107,5.945,5.379,3.677,5.044,6.205,4.367,3.342,3.507,3.419,3.321,3.331
Sierra Leone,"Gross domestic product, constant prices",Percent change, ,,4.224,8.058,5.400,3.187,5.347,5.961,15.212,20.684,4.624,-21.473,5.271,-0.666,5.150,8.701,5.646
Singapore,"Gross domestic product, constant prices",Percent change, ,,8.860,9.112,1.788,-0.603,15.240,6.208,3.670,4.675,3.260,2.008,1.773,2.159,2.465,2.663,2.787
Slovak Republic,"Gross domestic product, constant prices",Percent change, ,,8.486,10.834,5.653,-5.491,5.082,2.842,1.523,1.428,2.522,3.595,3.347,3.426,3.400,3.300,3.200
Slovenia,"Gross domestic product, constant prices",Percent change, ,,5.656,6.942,3.300,-7.797,1.238,0.649,-2.718,-1.058,3.048,2.879,1.878,2.034,1.696,1.479,1.514
Solomon Islands,"Gross domestic product, constant prices",Percent change, ,,3.993,6.389,7.106,-4.738,6.889,12.945,4.650,3.020,1.979,3.250,2.999,3.271,3.009,2.995,2.999
South Africa,"Gross domestic product, constant prices",Percent change, ,,5.604,5.360,3.191,-1.538,3.040,3.212,2.220,2.212,1.549,1.283,0.612,1.206,2.063,2.400,2.400
